Recipient_ID,Gender,age,income,Credit_Score,Education_Level,Region,Telephone_No
1000001,Sex Not Available,25-34,1740,758,3,south,3429638224
1000002,Male,55-64,4980,552,3,North,5323912264
1000003,Male,35-44,9480,834,3,south,8448900964
1000004,Male,45-54,11880,587,2,North,4896430707
1000005,Joint,25-34,10440,602,3,North,8723907252
1000006,Joint,35-44,10080,864,2,North,9434680238
1000007,Joint,55-64,5040,860,3,North,6427341869
1000008,Female,55-64,3780,863,3,North,2641985525
1000009,Joint,55-64,5580,580,3,central,6925409437
1000010,Sex Not Available,55-64,6720,788,2,south,4507262575
1000011,Male,55-64,4020,723,3,North,8950316338
1000012,Sex Not Available,35-44,9540,501,2,south,4337346988
1000013,Joint,65-74,3780,884,2,North,9573209489
1000014,Joint,55-64,,520,3,North,8961895659
1000015,Female,35-44,7860,773,3,North,3916321023
1000016,Male,45-54,2220,685,2,North,5250907990
1000017,Joint,25-34,5340,846,1,North,5421432159
1000018,Male,65-74,3120,534,3,North,6908986921
1000019,Female,45-54,5340,629,3,North,2044526438
1000020,Sex Not Available,55-64,12540,688,1,south,4658498725
1000021,Joint,65-74,16860,668,3,North,2192284671
1000022,Female,>74,2100,758,2,North,4318335813
1000023,Male,55-64,2880,692,2,south,6668784411
1000024,Female,65-74,2760,620,3,south,3741928132
1000025,Male,35-44,4980,846,3,south,1237070552
1000026,Joint,45-54,8940,533,3,North,6450161033
1000027,Joint,45-54,6780,518,3,south,4062232544
1000028,Sex Not Available,25-34,3840,812,1,south,1134345837
1000029,Female,55-64,3840,534,2,central,1514147598
1000030,Female,35-44,4920,647,2,south,5564312990
1000031,Male,25-34,5400,683,2,North,6878054265
1000032,Male,55-64,,705,1,North,9110204271
1000033,Male,35-44,5580,701,1,North,2987106031
1000034,Male,45-54,3720,591,1,North,1450548225
1000035,Male,25-34,7500,647,1,North,9082487362
1000036,Female,45-54,3540,889,1,south,4670812586
1000037,Male,55-64,9180,651,2,south,6315114563
1000038,Joint,45-54,9660,716,2,North,3815676802
1000039,Male,65-74,3780,780,1,central,8161880395
1000040,Male,35-44,7560,799,3,North,4051220420
1000041,Male,35-44,9060,766,1,south,3478163580
1000042,Female,35-44,3480,868,2,central,9470607760
1000043,Male,45-54,0,765,2,North,4257753414
1000044,Male,35-44,3120,673,3,central,3252431370
1000045,Sex Not Available,35-44,13620,876,3,south,8363261510
1000046,Joint,45-54,7380,886,2,North,7146205001
1000047,Sex Not Available,55-64,4920,772,3,south,8026107060
1000048,Joint,55-64,3720,640,2,North,6519254545
1000049,Male,45-54,,798,2,south,6541997293
1000050,Female,25-34,6780,858,2,North,3426098312
1000051,Sex Not Available,25-34,9060,543,2,south,8271833869
1000052,Male,65-74,9600,846,1,North,7374430913
1000053,Joint,65-74,3360,555,3,North,8736871972
1000054,Female,65-74,4560,603,3,North,6712474061
1000055,Joint,35-44,22500,808,2,central,9837300506
1000056,Sex Not Available,55-64,3300,519,3,south,3881443992
1000057,Female,45-54,4140,786,3,south,1961926249
1000058,Male,45-54,6000,769,2,south,9199290546
1000059,Male,35-44,6600,685,3,North,5360744473
1000060,Sex Not Available,35-44,11340,556,3,south,5031757940
1000061,Male,65-74,7080,567,3,North,9292855479
1000062,Male,35-44,4800,632,2,North,8823050273
1000063,Joint,35-44,8520,818,2,south,9938074275
1000064,Sex Not Available,<25,2760,584,3,south,4697798556
1000065,Joint,55-64,7140,750,1,North,8341445996
1000066,Male,55-64,5820,808,2,south,1938411964
1000067,Joint,65-74,2100,838,2,North,6617422412
1000068,Female,65-74,12000,741,3,south,8545156852
1000069,Female,25-34,3720,820,2,North,4503539623
1000070,Sex Not Available,65-74,5880,665,1,south,9460580313
1000071,Sex Not Available,>74,3300,783,2,south,5419087694
1000072,Male,35-44,8400,663,3,south,4668059864
1000073,Female,65-74,5520,612,3,North,7105517065
1000074,Male,65-74,2040,739,3,North,5094484410
1000075,Male,45-54,8580,812,3,North,8541992917
1000076,Joint,45-54,10740,571,3,central,1678832368
1000077,Sex Not Available,35-44,2400,870,3,south,1326589659
1000078,Joint,35-44,12600,793,2,North,9548367525
1000079,Male,35-44,5040,804,2,North,6169288427
1000080,Sex Not Available,35-44,7860,801,1,south,1543753645
1000081,Male,55-64,5700,711,2,North,7620691914
1000082,Female,55-64,2580,673,3,central,5428257567
1000083,Sex Not Available,45-54,15180,634,1,south,4794551143
1000084,Male,55-64,8700,834,1,North,1372181387
1000085,Sex Not Available,25-34,5400,764,2,south,2542122319
1000086,Joint,25-34,8160,865,1,North,4311373343
1000087,Sex Not Available,45-54,9180,593,2,south,6510973980
1000088,Sex Not Available,35-44,,511,3,south,3758124039
1000089,Joint,65-74,5640,533,1,south,4789819385
1000090,Joint,65-74,7980,677,3,North,2418477122
1000091,Sex Not Available,65-74,9840,774,3,south,8307644893
1000092,Joint,>74,11460,638,2,North,7351024263
1000093,Male,55-64,3660,644,3,North,5155287308
1000094,Male,35-44,7140,732,1,south,1503564968
1000095,Female,55-64,7440,586,2,North,3843909787
1000096,Female,35-44,2940,642,2,North,2772184000
1000097,Male,65-74,,872,3,south,6376218847
1000098,Sex Not Available,55-64,3000,898,3,south,8154407542
1000099,Sex Not Available,45-54,14640,734,2,south,6235440547
1000100,Female,25-34,3840,639,2,North,8606690608
1000101,Male,55-64,2880,506,3,North,9388304466
1000102,Joint,65-74,5700,664,2,North,5698833834
1000103,Male,45-54,7680,670,3,North,4878983858
1000104,Male,35-44,,577,3,North,1498332194
1000105,Male,55-64,6840,857,1,south,4295772324
1000106,Joint,55-64,10260,653,2,North,7560607519
1000107,Male,<25,3120,595,3,North,4685001722
1000108,Joint,55-64,17340,639,1,North,1641685030
1000109,Joint,35-44,12180,787,3,south,8651804361
1000110,Joint,45-54,5520,560,3,south,2922446277
1000111,Joint,25-34,6060,613,1,south,9875181456
1000112,Sex Not Available,45-54,5220,514,2,south,4727145927
1000113,Sex Not Available,45-54,2640,867,1,south,1773765035
